0
AAPL
ABBV
ABNB
ADBE
AMD
AMZN
AVGO
BAC
CAT
CMCSA
COST
CRM
CSCO
CVX
DIS
GE
GOOG
GOOGL
GS
HD
HON
IBM
INTC
JNJ
JPM
KO
LMT
MA
MCD
META
MRK
MS
MSFT
MSI
NFLX
NKE
NVDA
ORCL
PEP
PFE
PG
PYPL
QCOM
T
TSLA
TXN
UNH
UPS
V
VZ
WMT
XOM
